
============================================================
Downloading layer 36: LBS_50K_Nasional
============================================================
  Fetching OID range ...
  OID range: 1 – 1242551

  --- Part 1/4 — WHERE: objectid >= 1 AND objectid <= 310638 ---
    Part 1/4 — offset 0: got 1000 features (total so far: 1000)
    Part 1/4 — offset 1000: got 1000 features (total so far: 2000)
    Part 1/4 — offset 2000: got 1000 features (total so far: 3000)
    Part 1/4 — offset 3000: got 1000 features (total so far: 4000)
    Part 1/4 — offset 4000: got 1000 features (total so far: 5000)
    Part 1/4 — offset 5000: got 1000 features (total so far: 6000)
    Part 1/4 — offset 6000: got 1000 features (total so far: 7000)
    Part 1/4 — offset 7000: got 1000 features (total so far: 8000)
    Part 1/4 — offset 8000: got 1000 features (total so far: 9000)
    Part 1/4 — offset 9000: got 1000 features (total so far: 10000)
    Part 1/4 — offset 10000: got 1000 features (total so far: 11000)
    Part 1/4 — offset 11000: got 1000 features (total so far: 12000)
    Part 1/4 — offset 12000: got 1000 features (total so far: 13000)
    Part 1/4 — offset 13000: got 1000 features (total so far: 14000)
    Part 1/4 — offset 14000: got 1000 features (total so far: 15000)
    Part 1/4 — offset 15000: got 1000 features (total so far: 16000)
    Part 1/4 — offset 16000: got 1000 features (total so far: 17000)
    Part 1/4 — offset 17000: got 1000 features (total so far: 18000)
    Part 1/4 — offset 18000: got 1000 features (total so far: 19000)
    Part 1/4 — offset 19000: got 1000 features (total so far: 20000)
    Part 1/4 — offset 20000: got 1000 features (total so far: 21000)
    Part 1/4 — offset 21000: got 1000 features (total so far: 22000)
    Part 1/4 — offset 22000: got 1000 features (total so far: 23000)
    Part 1/4 — offset 23000: got 1000 features (total so far: 24000)
    Part 1/4 — offset 24000: got 1000 features (total so far: 25000)
    Part 1/4 — offset 25000: got 1000 features (total so far: 26000)
    Part 1/4 — offset 26000: got 1000 features (total so far: 27000)
    Part 1/4 — offset 27000: got 1000 features (total so far: 28000)
    Part 1/4 — offset 28000: got 1000 features (total so far: 29000)
    Part 1/4 — offset 29000: got 1000 features (total so far: 30000)
    Part 1/4 — offset 30000: got 1000 features (total so far: 31000)
    Part 1/4 — offset 31000: got 1000 features (total so far: 32000)
    Part 1/4 — offset 32000: got 1000 features (total so far: 33000)
    Part 1/4 — offset 33000: got 1000 features (total so far: 34000)
    Part 1/4 — offset 34000: got 1000 features (total so far: 35000)
    Part 1/4 — offset 35000: got 1000 features (total so far: 36000)
    Part 1/4 — offset 36000: got 1000 features (total so far: 37000)
    Part 1/4 — offset 37000: got 1000 features (total so far: 38000)
    Part 1/4 — offset 38000: got 1000 features (total so far: 39000)
    Part 1/4 — offset 39000: got 1000 features (total so far: 40000)
    Part 1/4 — offset 40000: got 1000 features (total so far: 41000)
    Part 1/4 — offset 41000: got 1000 features (total so far: 42000)
    Part 1/4 — offset 42000: got 1000 features (total so far: 43000)
    Part 1/4 — offset 43000: got 1000 features (total so far: 44000)
    Part 1/4 — offset 44000: got 1000 features (total so far: 45000)
    Part 1/4 — offset 45000: got 1000 features (total so far: 46000)
    Part 1/4 — offset 46000: got 1000 features (total so far: 47000)
    Part 1/4 — offset 47000: got 1000 features (total so far: 48000)
    Part 1/4 — offset 48000: got 1000 features (total so far: 49000)
    Part 1/4 — offset 49000: got 1000 features (total so far: 50000)
    Part 1/4 — offset 50000: got 1000 features (total so far: 51000)
    Part 1/4 — offset 51000: got 1000 features (total so far: 52000)
    Part 1/4 — offset 52000: got 1000 features (total so far: 53000)
    Part 1/4 — offset 53000: got 1000 features (total so far: 54000)
    Part 1/4 — offset 54000: got 1000 features (total so far: 55000)
    Part 1/4 — offset 55000: got 1000 features (total so far: 56000)
    Part 1/4 — offset 56000: got 1000 features (total so far: 57000)
    Part 1/4 — offset 57000: got 1000 features (total so far: 58000)
    Part 1/4 — offset 58000: got 1000 features (total so far: 59000)
    Part 1/4 — offset 59000: got 1000 features (total so far: 60000)
